Owner,Repository,Stars,Created At,Last Updated,Primary Language,Releases,Open Issues,Closed Issues,Closed Issues Ratio,Merged Pull Requests
awesomedata,awesome-public-datasets,64490,2014-11-20T06:20:50Z,2025-08-29T14:10:45Z,Unknown,1,70,48,0.41,188
kdn251,interviews,64394,2017-02-14T18:19:25Z,2025-08-29T12:24:42Z,Java,0,32,24,0.43,42
jesseduffield,lazygit,64166,2018-05-19T00:53:06Z,2025-08-29T13:19:06Z,Go,169,698,1599,0.70,1692
kelseyhightower,nocode,63841,2018-02-06T23:54:00Z,2025-08-29T11:47:13Z,Dockerfile,1,4148,716,0.15,1
twitter,the-algorithm,63525,2023-03-27T14:57:57Z,2025-08-29T09:12:03Z,Scala,0,280,730,0.72,2
juliangarnier,anime,63514,2016-03-13T21:37:45Z,2025-08-29T12:57:41Z,JavaScript,23,76,719,0.90,80
Shubhamsaboo,awesome-llm-apps,63427,2024-04-29T05:30:25Z,2025-08-29T14:14:21Z,Python,0,1,92,0.99,134
keras-team,keras,63373,2015-03-28T00:35:42Z,2025-08-29T14:15:51Z,Python,81,230,12301,0.98,4248
infiniflow,ragflow,63298,2023-12-12T06:13:13Z,2025-08-29T13:49:18Z,TypeScript,32,2730,2341,0.46,3803
scikit-learn,scikit-learn,63173,2010-08-17T09:43:38Z,2025-08-29T14:01:47Z,Python,47,1580,10086,0.86,13486
TheAlgorithms,Java,63156,2016-07-16T10:21:02Z,2025-08-29T14:04:56Z,Java,0,7,1103,0.99,2022
bradtraversy,design-resources-for-developers,62888,2020-05-06T14:40:35Z,2025-08-29T12:45:24Z,Unknown,0,0,104,1.00,951
labmlai,annotated_deep_learning_paper_implementations,62870,2020-08-25T02:29:34Z,2025-08-29T14:15:29Z,Python,0,24,113,0.82,101
chrislgarry,Apollo-11,62832,2014-04-03T15:45:02Z,2025-08-29T14:05:32Z,Assembly,0,56,326,0.85,343
All-Hands-AI,OpenHands,62733,2024-03-13T03:33:31Z,2025-08-29T14:03:41Z,Python,76,348,2972,0.90,5206
resume,resume.github.com,62604,2011-02-06T13:39:55Z,2025-08-29T14:04:59Z,JavaScript,0,56,66,0.54,84
prakhar1989,awesome-courses,62493,2014-11-15T18:36:49Z,2025-08-29T12:51:36Z,Unknown,0,42,39,0.48,194
sindresorhus,awesome-nodejs,62417,2014-07-11T13:35:34Z,2025-08-29T13:44:43Z,Unknown,0,2,102,0.98,418
socketio,socket.io,62354,2010-03-11T18:24:48Z,2025-08-29T14:01:08Z,TypeScript,75,194,3425,0.95,435
FuelLabs,sway,62163,2021-01-19T20:54:33Z,2025-08-29T12:24:56Z,Rust,178,849,2454,0.74,3512
facebook,docusaurus,61511,2017-06-20T16:13:53Z,2025-08-29T14:07:49Z,TypeScript,151,294,3028,0.91,5488
reduxjs,redux,61325,2015-05-29T23:53:15Z,2025-08-29T08:50:10Z,TypeScript,78,39,2024,0.98,1721
dair-ai,Prompt-Engineering-Guide,61261,2022-12-16T16:04:50Z,2025-08-29T11:49:17Z,MDX,0,152,71,0.32,340
lodash,lodash,60914,2012-04-07T04:11:46Z,2025-08-29T11:40:34Z,JavaScript,2,84,4228,0.98,581
mlabonne,llm-course,60750,2023-06-17T22:16:25Z,2025-08-29T14:16:09Z,Unknown,0,54,30,0.36,1
atom,atom,60605,2012-01-20T18:18:21Z,2025-08-29T11:49:21Z,JavaScript,538,963,16148,0.94,3933
h5bp,Front-end-Developer-Interview-Questions,60537,2012-02-09T23:34:10Z,2025-08-29T13:59:28Z,Nunjucks,0,34,143,0.81,484
xingshaocheng,architect-awesome,60419,2018-04-06T13:30:58Z,2025-08-29T06:44:41Z,Unknown,0,49,22,0.31,49
openinterpreter,open-interpreter,60372,2023-07-14T07:10:44Z,2025-08-29T14:11:16Z,Python,48,228,797,0.78,369
localstack,localstack,60290,2016-10-25T23:48:03Z,2025-08-29T14:03:48Z,Python,94,241,5763,0.96,6252
alacritty,alacritty,60141,2016-02-18T05:02:30Z,2025-08-29T10:10:41Z,Rust,101,323,5805,0.95,1888
prometheus,prometheus,60128,2012-11-24T11:14:12Z,2025-08-29T12:47:56Z,Go,342,528,5649,0.91,7643
adam-p,markdown-here,60002,2012-05-13T03:27:22Z,2025-08-29T09:42:03Z,JavaScript,17,300,329,0.52,27
NationalSecurityAgency,ghidra,59784,2019-03-01T03:27:48Z,2025-08-29T14:11:51Z,Java,46,1465,4083,0.74,524
rust-lang,rustlings,59778,2015-09-15T02:25:18Z,2025-08-29T13:28:39Z,Rust,46,47,689,0.94,915
jquery,jquery,59556,2009-04-03T15:20:14Z,2025-08-29T11:48:35Z,JavaScript,11,79,2286,0.97,812
ryanoasis,nerd-fonts,59370,2014-12-05T04:31:17Z,2025-08-29T13:55:45Z,CSS,38,32,1062,0.97,550
tldr-pages,tldr,59043,2013-12-08T07:34:43Z,2025-08-29T13:53:44Z,Markdown,6,180,1346,0.88,14829
shadowsocks,shadowsocks-windows,59000,2013-01-14T07:54:16Z,2025-08-29T14:12:25Z,C#,55,185,2727,0.94,290
angular,angular.js,58768,2010-01-06T00:34:37Z,2025-08-29T05:49:50Z,JavaScript,0,389,8644,0.96,789
spring-projects,spring-framework,58741,2010-12-08T04:04:45Z,2025-08-29T14:14:39Z,Java,341,276,26853,0.99,872
meta-llama,llama,58681,2023-02-14T09:29:12Z,2025-08-29T11:57:47Z,Python,0,446,652,0.59,53
FoundationAgents,MetaGPT,58146,2023-06-30T09:04:55Z,2025-08-29T10:02:32Z,Python,22,15,856,0.98,660
scrapy,scrapy,58081,2010-02-22T02:01:14Z,2025-08-29T12:44:38Z,Python,43,470,2715,0.85,2392
nuxt,nuxt,58050,2016-10-26T11:18:47Z,2025-08-29T12:48:55Z,TypeScript,256,792,15898,0.95,6921
gorhill,uBlock,58030,2015-04-01T17:51:11Z,2025-08-29T13:25:02Z,JavaScript,277,13,3432,1.00,252
youngyangyang04,leetcode-master,57994,2019-12-14T12:05:42Z,2025-08-29T14:08:03Z,Shell,0,205,67,0.25,2306
FuelLabs,fuel-core,57545,2020-08-27T21:12:14Z,2025-08-29T12:24:58Z,Rust,123,143,970,0.87,1553
rails,rails,57364,2008-04-11T02:19:47Z,2025-08-29T12:55:10Z,Ruby,149,475,17728,0.97,25173
h5bp,html5-boilerplate,57150,2010-01-24T18:03:24Z,2025-08-29T11:01:50Z,JavaScript,34,8,1346,0.99,790
Solido,awesome-flutter,57017,2017-05-07T11:45:27Z,2025-08-29T13:07:55Z,Dart,0,0,0,0.00,444
hiyouga,LLaMA-Factory,56939,2023-05-28T10:09:12Z,2025-08-29T12:59:32Z,Python,34,599,6765,0.92,699
nocodb,nocodb,56678,2017-10-29T18:51:48Z,2025-08-29T13:47:14Z,TypeScript,174,617,3620,0.85,5329
vllm-project,vllm,56644,2023-02-09T11:23:20Z,2025-08-29T14:14:13Z,Python,73,1806,8684,0.83,8946
zylon-ai,private-gpt,56525,2023-05-02T09:15:31Z,2025-08-29T07:20:49Z,Python,10,253,961,0.79,224
jgraph,drawio-desktop,56508,2017-05-25T20:58:42Z,2025-08-29T13:34:23Z,JavaScript,159,64,1574,0.96,20
scutan90,DeepLearning-500-questions,56498,2018-06-27T06:36:45Z,2025-08-29T12:54:17Z,JavaScript,0,110,81,0.42,302
soimort,you-get,56372,2012-08-20T15:53:36Z,2025-08-29T13:46:04Z,Python,123,0,0,0.00,582
traefik,traefik,56303,2015-09-13T19:04:02Z,2025-08-29T13:39:26Z,Go,483,640,5714,0.90,4716
FiloSottile,mkcert,56299,2018-06-25T05:33:03Z,2025-08-29T12:23:44Z,Go,14,105,239,0.69,52
git,git,56250,2008-07-23T14:21:26Z,2025-08-29T12:20:35Z,C,0,0,0,0.00,3
PlexPt,awesome-chatgpt-prompts-zh,56039,2022-12-12T01:55:03Z,2025-08-29T13:37:39Z,Unknown,0,38,58,0.60,33
commaai,openpilot,55938,2016-11-24T01:33:30Z,2025-08-29T13:22:03Z,Python,58,132,2932,0.96,11804
gatsbyjs,gatsby,55911,2015-05-21T22:43:05Z,2025-08-29T07:19:18Z,JavaScript,156,215,13904,0.98,18185
azl397985856,leetcode,55586,2018-03-30T09:13:51Z,2025-08-29T14:17:22Z,JavaScript,40,9,248,0.96,257
topjohnwu,Magisk,55570,2016-09-08T12:42:53Z,2025-08-29T12:08:59Z,Kotlin,151,38,6229,0.99,1624
remix-run,react-router,55424,2014-05-16T22:22:51Z,2025-08-29T11:01:19Z,TypeScript,311,98,8062,0.99,3209
ageitgey,face_recognition,55340,2017-03-03T21:52:39Z,2025-08-29T12:23:37Z,Python,2,775,595,0.43,94
ultralytics,yolov5,55153,2020-05-18T03:45:11Z,2025-08-29T10:11:46Z,Python,10,255,9177,0.97,2211
CorentinJ,Real-Time-Voice-Cloning,54923,2019-05-26T08:56:15Z,2025-08-28T23:09:02Z,Python,0,205,896,0.81,48
BurntSushi,ripgrep,54906,2016-03-11T02:02:33Z,2025-08-29T14:11:19Z,Rust,72,132,1581,0.92,516
minio,minio,54893,2015-01-14T19:23:58Z,2025-08-29T13:57:53Z,Go,519,38,7780,1.00,9857
AntonOsika,gpt-engineer,54792,2023-04-29T12:52:15Z,2025-08-29T13:22:09Z,Python,20,31,470,0.94,350
toeverything,AFFiNE,54631,2022-07-31T18:45:21Z,2025-08-29T13:39:29Z,TypeScript,578,293,2735,0.90,8711
deepfakes,faceswap,54442,2017-12-19T09:44:13Z,2025-08-29T14:02:04Z,Python,4,35,848,0.96,357
pmndrs,zustand,54387,2019-04-09T09:10:06Z,2025-08-29T12:21:30Z,TypeScript,98,2,688,1.00,810
ElemeFE,element,54244,2016-09-03T06:19:26Z,2025-08-29T13:25:08Z,Vue,145,2618,15250,0.85,3231
sharkdp,bat,54182,2018-04-21T10:52:23Z,2025-08-29T13:17:15Z,Rust,41,325,1193,0.79,1471
lencx,ChatGPT,54064,2022-12-07T09:43:02Z,2025-08-29T13:06:32Z,Rust,34,843,361,0.30,123
golang-standards,project-layout,53645,2017-09-09T16:33:26Z,2025-08-29T14:03:38Z,Makefile,0,68,44,0.39,90
wasabeef,awesome-android-ui,53548,2014-12-24T01:45:03Z,2025-08-29T12:23:44Z,Unknown,0,20,94,0.82,90
Textualize,rich,53497,2019-11-10T15:28:09Z,2025-08-29T13:41:06Z,Python,170,209,1223,0.85,836
Z4nzu,hackingtool,53416,2020-04-11T09:21:31Z,2025-08-29T12:06:58Z,Python,0,53,321,0.86,56
necolas,normalize.css,53373,2011-05-04T10:20:25Z,2025-08-29T11:58:29Z,CSS,0,56,461,0.89,56
firecrawl,firecrawl,53268,2024-04-15T21:02:29Z,2025-08-29T14:13:17Z,TypeScript,24,139,551,0.80,845
psf,requests,53230,2011-02-13T18:38:17Z,2025-08-29T08:22:57Z,Python,14,200,3862,0.95,1591
maybe-finance,maybe,53202,2024-01-01T22:23:46Z,2025-08-29T14:11:02Z,Ruby,28,0,0,0.00,1073
PaddlePaddle,PaddleOCR,53166,2020-05-08T10:38:16Z,2025-08-29T13:22:20Z,Python,24,147,9772,0.99,2965
pi-hole,pi-hole,53096,2014-06-08T15:02:55Z,2025-08-29T13:26:56Z,Shell,118,40,3043,0.99,2108
withastro,astro,53067,2021-03-15T17:19:47Z,2025-08-29T14:03:15Z,TypeScript,1000,141,5437,0.97,7343
meilisearch,meilisearch,52970,2018-04-23T11:45:28Z,2025-08-29T13:54:36Z,Rust,268,208,2101,0.91,2155
FFmpeg,FFmpeg,52770,2011-04-14T14:12:38Z,2025-08-29T14:05:16Z,C,0,0,0,0.00,16
appwrite,appwrite,52511,2019-04-08T16:36:25Z,2025-08-29T12:47:53Z,TypeScript,112,627,3469,0.85,3876
rust-unofficial,awesome-rust,52316,2014-07-17T10:45:10Z,2025-08-29T13:21:41Z,Rust,0,10,132,0.93,1573
rclone,rclone,52312,2014-03-16T16:19:57Z,2025-08-29T11:37:42Z,Go,115,969,4829,0.83,2125
tiimgreen,github-cheat-sheet,52243,2014-04-12T16:38:42Z,2025-08-29T12:36:46Z,Unknown,0,23,48,0.68,129
google,material-design-icons,52033,2014-10-08T18:01:28Z,2025-08-29T11:56:13Z,Unknown,16,373,1159,0.76,50
ionic-team,ionic-framework,52012,2013-08-20T23:06:02Z,2025-08-29T13:42:34Z,TypeScript,914,578,21483,0.97,6304
wagoodman,dive,51853,2018-05-13T15:44:01Z,2025-08-29T12:48:31Z,Go,28,157,202,0.56,164
unclecode,crawl4ai,51763,2024-05-09T09:48:50Z,2025-08-29T14:02:25Z,Python,8,160,648,0.80,93
mozilla,pdf.js,51710,2011-04-26T06:32:03Z,2025-08-29T13:20:13Z,JavaScript,76,409,9876,0.96,8109
facebookresearch,segment-anything,51674,2023-03-23T17:03:03Z,2025-08-29T13:58:57Z,Jupyter Notebook,0,526,178,0.25,15
OpenBB-finance,OpenBB,51582,2020-12-20T10:46:38Z,2025-08-29T13:38:28Z,Python,46,37,2208,0.98,4115
vuejs,core,51434,2018-06-12T13:49:36Z,2025-08-29T10:34:40Z,TypeScript,247,673,5110,0.88,3239
sickcodes,Docker-OSX,51263,2020-06-04T11:01:37Z,2025-08-29T12:29:53Z,Shell,0,386,282,0.42,107
Semantic-Org,Semantic-UI,51198,2013-04-08T23:32:04Z,2025-08-29T07:14:35Z,JavaScript,154,967,5268,0.84,355
JetBrains,kotlin,51175,2012-02-13T17:29:58Z,2025-08-29T14:12:34Z,Kotlin,266,0,0,0.00,2064
ngosang,trackerslist,51172,2016-04-24T11:57:57Z,2025-08-29T13:50:06Z,Unknown,0,6,479,0.99,1
marktext,marktext,51117,2017-11-12T16:05:25Z,2025-08-29T13:01:35Z,JavaScript,36,1278,1638,0.56,939
google,guava,51054,2014-05-29T16:23:17Z,2025-08-29T09:19:15Z,Java,56,628,2993,0.83,1016
laurent22,joplin,51048,2017-01-16T21:49:41Z,2025-08-29T11:35:32Z,TypeScript,386,546,6726,0.92,4438
prettier,prettier,50897,2016-11-29T17:13:37Z,2025-08-29T08:28:05Z,JavaScript,127,1223,5737,0.82,8877
starship,starship,50809,2019-04-02T03:23:12Z,2025-08-29T13:11:15Z,Rust,135,739,1775,0.71,2902
romkatv,powerlevel10k,50726,2019-02-24T19:09:45Z,2025-08-29T14:08:48Z,Shell,33,106,2466,0.96,167
jekyll,jekyll,50551,2008-10-20T06:29:03Z,2025-08-29T11:43:58Z,Ruby,112,118,4781,0.98,3189
xai-org,grok-1,50469,2024-03-17T08:53:38Z,2025-08-29T13:22:28Z,Python,0,0,0,0.00,5
TryGhost,Ghost,50463,2013-05-04T11:09:13Z,2025-08-29T12:26:00Z,JavaScript,903,67,7069,0.99,14307
RVC-Boss,GPT-SoVITS,50458,2024-01-14T18:05:21Z,2025-08-29T14:15:07Z,Python,4,720,1178,0.62,338
go-gitea,gitea,50375,2016-11-01T02:13:26Z,2025-08-29T12:45:19Z,Go,216,2603,12314,0.83,17798
WerWolv,ImHex,50273,2020-11-10T14:27:00Z,2025-08-29T12:13:56Z,C++,80,236,1184,0.83,672
DefinitelyTyped,DefinitelyTyped,50254,2012-10-05T16:39:45Z,2025-08-29T13:44:41Z,TypeScript,1,567,7521,0.93,52140
etcd-io,etcd,50172,2013-07-06T21:57:21Z,2025-08-29T13:34:16Z,Go,259,186,6829,0.97,9808
pocketbase,pocketbase,50155,2022-07-05T06:06:21Z,2025-08-29T14:13:52Z,Go,221,19,1824,0.99,54
firstcontributions,first-contributions,50097,2016-09-20T14:35:09Z,2025-08-29T13:47:17Z,Unknown,0,25,911,0.97,86404
chinese-poetry,chinese-poetry,49998,2016-09-02T03:32:25Z,2025-08-29T10:47:31Z,JavaScript,1,119,92,0.44,137
jgthms,bulma,49927,2016-01-23T23:48:34Z,2025-08-29T11:23:38Z,CSS,22,330,2394,0.88,642
cline,cline,49872,2024-07-06T07:28:10Z,2025-08-29T14:15:26Z,TypeScript,148,446,1832,0.80,1717
vsouza,awesome-ios,49754,2014-07-10T16:03:45Z,2025-08-29T13:54:46Z,Swift,0,2,486,1.00,2233
ethereum,go-ethereum,49645,2013-12-26T13:05:46Z,2025-08-29T13:52:39Z,Go,219,190,8298,0.98,8277
FoundationAgents,OpenManus,49284,2025-03-06T14:08:14Z,2025-08-29T13:08:59Z,Python,3,389,317,0.45,106
microsoft,autogen,49205,2023-08-18T11:43:45Z,2025-08-29T14:04:54Z,Python,97,395,2467,0.86,2501
poteto,hiring-without-whiteboards,49184,2017-03-15T05:09:01Z,2025-08-29T12:00:03Z,JavaScript,0,0,0,0.00,1300
agalwood,Motrix,49019,2018-12-18T11:45:05Z,2025-08-29T12:01:25Z,JavaScript,21,747,593,0.44,192
mastodon,mastodon,48921,2016-02-22T15:01:25Z,2025-08-29T14:03:12Z,Ruby,289,4028,8240,0.67,17758
Asabeneh,30-Days-Of-Python,48902,2019-11-19T17:24:16Z,2025-08-29T14:06:45Z,Python,0,57,79,0.58,61
justjavac,awesome-wechat-weapp,48845,2016-09-22T20:04:48Z,2025-08-29T13:54:17Z,Unknown,0,0,0,0.00,277
cypress-io,cypress,48844,2015-03-04T00:46:28Z,2025-08-29T14:15:46Z,TypeScript,373,1299,13801,0.91,7402
NARKOZ,hacker-scripts,48656,2015-11-21T19:05:09Z,2025-08-29T10:32:33Z,JavaScript,0,35,53,0.60,63
dani-garcia,vaultwarden,48497,2018-02-17T22:40:20Z,2025-08-29T14:17:52Z,Rust,73,9,2365,1.00,1005
Mintplex-Labs,anything-llm,48441,2023-06-04T02:29:14Z,2025-08-29T13:49:09Z,JavaScript,20,266,2499,0.90,1072
AlistGo,alist,48323,2020-12-23T17:40:29Z,2025-08-29T13:54:00Z,Go,138,550,3804,0.87,869
PowerShell,PowerShell,48311,2016-01-13T23:41:35Z,2025-08-29T13:23:12Z,C#,186,1098,11933,0.92,7557
ReactiveX,RxJava,48267,2013-01-08T20:11:48Z,2025-08-29T09:19:17Z,Java,241,12,3159,1.00,3329
iamkun,dayjs,48172,2018-04-10T09:26:44Z,2025-08-29T13:26:39Z,JavaScript,121,915,858,0.48,702
moment,moment,48090,2011-03-01T02:46:06Z,2025-08-28T07:05:08Z,JavaScript,0,244,3910,0.94,714
Avik-Jain,100-Days-Of-ML-Code,48054,2018-07-05T09:11:43Z,2025-08-29T14:17:17Z,Unknown,0,0,0,0.00,6
charlax,professional-programming,47956,2015-11-07T05:07:52Z,2025-08-29T06:00:25Z,Python,0,0,29,1.00,39
TapXWorld,ChinaTextbook,47798,2020-01-05T04:11:06Z,2025-08-29T14:16:08Z,Roff,0,59,53,0.47,1
algorithm-visualizer,algorithm-visualizer,47669,2016-05-15T00:27:45Z,2025-08-29T14:16:52Z,JavaScript,0,42,76,0.64,183
JuliaLang,julia,47564,2011-04-21T07:01:50Z,2025-08-29T14:05:56Z,Julia,181,3982,21403,0.84,25857
minimaxir,big-list-of-naughty-strings,47394,2015-08-08T20:57:20Z,2025-08-29T12:24:41Z,Python,0,69,32,0.32,90
huginn,huginn,47153,2013-03-10T06:00:31Z,2025-08-29T13:05:41Z,Ruby,1,601,1569,0.72,1043
LadybirdBrowser,ladybird,47053,2024-05-30T09:18:10Z,2025-08-29T14:17:30Z,C++,0,498,654,0.57,4298
nlohmann,json,47020,2013-07-04T08:47:49Z,2025-08-29T11:31:19Z,C++,45,40,2300,0.98,903
serverless,serverless,46860,2015-04-21T03:48:40Z,2025-08-29T09:11:36Z,JavaScript,455,1132,5387,0.83,4717
gogs,gogs,46826,2014-02-12T01:57:08Z,2025-08-29T07:44:40Z,Go,84,936,4223,0.82,1766
karan,Projects,46794,2013-07-04T13:37:27Z,2025-08-29T12:06:30Z,Unknown,0,48,35,0.42,19
x64dbg,x64dbg,46781,2015-04-11T20:48:23Z,2025-08-29T10:06:34Z,C++,4,607,2027,0.77,744
kamranahmedse,design-patterns-for-humans,46771,2017-02-16T21:24:39Z,2025-08-29T13:31:00Z,Unknown,0,5,47,0.90,50
square,okhttp,46621,2012-07-23T13:42:55Z,2025-08-29T11:39:40Z,Kotlin,0,53,4132,0.99,3766
typescript-cheatsheets,react,46581,2018-06-02T04:08:16Z,2025-08-29T09:25:12Z,JavaScript,0,1,221,1.00,371
TanStack,query,46440,2019-09-10T19:23:58Z,2025-08-29T14:09:08Z,TypeScript,1000,66,2102,0.97,2895
pandas-dev,pandas,46432,2010-08-24T01:37:33Z,2025-08-29T11:34:12Z,Python,112,3570,24110,0.87,26938
type-challenges,type-challenges,46360,2020-07-23T14:33:11Z,2025-08-29T12:46:03Z,TypeScript,0,32527,3846,0.11,588
hashicorp,terraform,46356,2014-03-13T22:25:48Z,2025-08-29T14:08:14Z,Go,380,1740,19683,0.92,12822
v2ray,v2ray-core,46341,2015-09-04T11:42:53Z,2025-08-29T13:04:55Z,Go,247,7,2584,1.00,203
dkhamsing,open-source-ios-apps,46295,2015-01-26T23:32:34Z,2025-08-29T13:22:14Z,Unknown,37,0,310,1.00,1420
lllyasviel,Fooocus,46117,2023-08-09T18:43:40Z,2025-08-29T14:13:08Z,Python,21,212,1400,0.87,447
ziishaned,learn-regex,46077,2017-07-22T12:21:03Z,2025-08-29T10:37:03Z,Unknown,0,52,35,0.40,132
slab,quill,46011,2012-07-30T23:23:18Z,2025-08-29T12:25:01Z,TypeScript,95,508,3267,0.87,381
lyswhut,lx-music-desktop,45946,2019-08-14T14:31:08Z,2025-08-29T13:27:37Z,TypeScript,110,963,1236,0.56,86
jesseduffield,lazydocker,45836,2019-05-18T08:53:50Z,2025-08-29T13:55:20Z,Go,42,172,190,0.52,186
bigskysoftware,htmx,45802,2020-04-13T16:17:51Z,2025-08-29T11:10:20Z,JavaScript,26,573,1006,0.64,956
pixijs,pixijs,45640,2013-01-21T22:40:50Z,2025-08-29T12:28:27Z,TypeScript,293,237,5752,0.96,3688
kelseyhightower,kubernetes-the-hard-way,45576,2016-07-07T14:15:27Z,2025-08-29T13:59:23Z,Unknown,0,13,415,0.97,73
brillout,awesome-react-components,45328,2016-06-24T15:19:33Z,2025-08-29T10:16:00Z,Unknown,0,8,44,0.85,324
jakevdp,PythonDataScienceHandbook,45323,2016-08-10T14:24:36Z,2025-08-29T11:44:49Z,Jupyter Notebook,0,125,78,0.38,28
odoo,odoo,45321,2014-05-13T15:38:58Z,2025-08-29T13:49:35Z,Python,0,3298,15111,0.82,6181
skylot,jadx,45279,2013-03-18T17:08:21Z,2025-08-29T13:31:22Z,Java,31,393,1528,0.80,577
android,architecture-samples,45260,2016-02-05T13:42:07Z,2025-08-28T22:47:44Z,Kotlin,0,139,348,0.71,232
typst,typst,45170,2019-09-24T21:41:56Z,2025-08-29T13:48:11Z,Rust,22,918,2582,0.74,1831
dbeaver,dbeaver,45063,2015-10-21T08:26:28Z,2025-08-29T12:57:18Z,Java,230,3050,16337,0.84,6134
Asabeneh,30-Days-Of-JavaScript,45024,2019-12-23T14:07:40Z,2025-08-29T13:29:02Z,JavaScript,0,115,59,0.34,98
serhii-londar,open-source-mac-os-apps,45011,2017-11-03T02:35:33Z,2025-08-29T12:14:07Z,Unknown,0,50,161,0.76,525
jestjs,jest,45010,2013-12-10T00:18:04Z,2025-08-29T09:47:53Z,TypeScript,210,241,7876,0.97,5721
ColorlibHQ,AdminLTE,44961,2013-12-25T02:52:40Z,2025-08-29T09:31:56Z,CSS,77,140,2747,0.95,1545
discourse,discourse,44931,2013-01-12T00:25:55Z,2025-08-29T14:10:02Z,Ruby,0,0,0,0.00,30205
ultralytics,ultralytics,44930,2022-09-11T16:39:45Z,2025-08-29T13:22:37Z,Python,263,243,11451,0.98,3557
akullpp,awesome-java,44870,2014-07-09T10:12:43Z,2025-08-29T12:36:56Z,Unknown,0,0,136,1.00,715
oobabooga,text-generation-webui,44821,2022-12-21T04:17:37Z,2025-08-29T13:22:43Z,Python,80,2576,1430,0.36,1183
unslothai,unsloth,44807,2023-11-29T16:50:09Z,2025-08-29T14:07:16Z,Python,17,716,1753,0.71,489
coollabsio,coolify,44707,2021-01-25T20:54:01Z,2025-08-29T13:54:46Z,PHP,627,564,2268,0.80,1661
dypsilon,frontend-dev-bookmarks,44707,2013-06-22T13:23:55Z,2025-08-29T10:23:04Z,Unknown,1,25,82,0.77,129
meteor,meteor,44688,2012-01-19T01:58:17Z,2025-08-29T08:30:39Z,JavaScript,0,258,8948,0.97,2541
Homebrew,brew,44653,2016-03-06T05:08:38Z,2025-08-29T14:09:13Z,Ruby,444,21,4794,1.00,13041
termux,termux-app,44556,2015-10-23T09:42:46Z,2025-08-29T14:02:23Z,Java,95,402,2524,0.86,162
google,zx,44545,2021-05-05T05:50:01Z,2025-08-29T13:22:43Z,JavaScript,96,14,476,0.97,553
2dust,v2rayNG,44357,2019-05-15T02:15:31Z,2025-08-29T14:10:41Z,Kotlin,256,9,3412,1.00,499
vercel,hyper,44215,2016-07-01T06:01:21Z,2025-08-29T09:35:43Z,TypeScript,88,942,2872,0.75,3291
isocpp,CppCoreGuidelines,44137,2015-08-19T20:22:52Z,2025-08-29T05:32:29Z,CSS,4,247,964,0.80,812
LeCoupa,awesome-cheatsheets,43980,2017-11-09T02:47:15Z,2025-08-29T13:45:46Z,JavaScript,0,37,59,0.61,169
run-llama,llama_index,43955,2022-11-02T04:24:54Z,2025-08-29T13:22:31Z,Python,406,218,6415,0.97,7034
usememos,memos,43941,2021-12-08T15:30:18Z,2025-08-29T13:58:57Z,Go,80,21,2451,0.99,1797
parcel-bundler,parcel,43935,2017-08-07T16:36:47Z,2025-08-28T17:12:54Z,JavaScript,48,474,5014,0.91,2591
karpathy,nanoGPT,43930,2022-12-28T00:51:12Z,2025-08-29T13:22:54Z,Python,0,228,109,0.32,45
DovAmir,awesome-design-patterns,43904,2018-06-04T17:47:48Z,2025-08-29T13:41:13Z,Unknown,0,10,5,0.33,30
acmesh-official,acme.sh,43810,2015-12-26T12:56:33Z,2025-08-29T13:51:24Z,Shell,44,1078,2242,0.68,1424
astaxie,build-web-application-with-golang,43794,2012-08-02T11:49:35Z,2025-08-29T05:56:16Z,Go,0,121,183,0.60,757
microsoft,monaco-editor,43754,2016-06-07T16:56:31Z,2025-08-29T12:53:36Z,JavaScript,95,681,3154,0.82,474
react-hook-form,react-hook-form,43745,2019-03-05T23:47:10Z,2025-08-29T12:39:38Z,TypeScript,585,82,4761,0.98,2071
jeecgboot,JeecgBoot,43716,2018-11-26T10:40:00Z,2025-08-29T10:49:11Z,Java,61,25,7588,1.00,122
babel,babel,43706,2014-09-28T13:38:23Z,2025-08-29T12:27:50Z,TypeScript,442,593,8403,0.93,6291
aymericdamien,TensorFlow-Examples,43702,2015-11-11T14:21:19Z,2025-08-28T16:51:10Z,Jupyter Notebook,0,167,70,0.30,88
square,retrofit,43699,2010-09-06T21:39:43Z,2025-08-29T09:19:28Z,HTML,4,127,2622,0.95,1190
FuelLabs,fuels-rs,43630,2021-10-31T22:33:54Z,2025-08-29T12:24:54Z,Rust,117,49,609,0.93,899
prisma,prisma,43621,2019-06-20T13:33:47Z,2025-08-29T13:02:06Z,TypeScript,224,2317,9058,0.80,6361
FuelLabs,fuels-ts,43615,2021-09-03T18:11:03Z,2025-08-29T12:24:52Z,TypeScript,154,58,1398,0.96,1969
grpc,grpc,43564,2014-12-08T18:58:53Z,2025-08-29T13:25:29Z,C++,356,681,11120,0.94,20059
Leaflet,Leaflet,43503,2010-09-22T16:57:44Z,2025-08-29T12:30:19Z,JavaScript,33,393,4888,0.93,3120
streamich,react-use,43480,2018-10-27T10:16:05Z,2025-08-29T08:45:29Z,TypeScript,256,355,244,0.41,1532
yangshun,front-end-interview-handbook,43467,2018-01-13T19:40:08Z,2025-08-29T13:59:19Z,MDX,0,10,91,0.90,346
metabase,metabase,43440,2015-02-02T19:25:47Z,2025-08-29T14:00:35Z,Clojure,678,3562,19555,0.85,34343
