Owner,Repository,Stars,Created At,Last Updated,Primary Language,Releases,Open Issues,Closed Issues,Closed Issues Ratio,Merged Pull Requests
microsoft,PowerToys,122712,2019-05-01T17:44:02Z,2025-08-29T14:06:53Z,C#,117,7009,27651,0.80,5686
electron,electron,118080,2013-04-12T01:47:36Z,2025-08-29T14:14:07Z,C++,1000,754,20311,0.96,23307
kubernetes,kubernetes,117143,2014-06-06T22:56:04Z,2025-08-29T14:03:21Z,Go,756,1888,45848,0.96,62330
krahets,hello-algo,115896,2022-11-04T11:08:34Z,2025-08-29T13:28:48Z,Java,9,12,258,0.96,946
justjavac,free-programming-books-zh_CN,115089,2013-11-04T01:59:19Z,2025-08-29T11:21:21Z,Unknown,3,0,0,0.00,282
langchain-ai,langchain,114444,2022-10-17T02:58:36Z,2025-08-29T13:56:06Z,Jupyter Notebook,956,226,8437,0.97,14534
nodejs,node,112993,2014-11-26T19:57:11Z,2025-08-29T12:37:12Z,JavaScript,457,1728,17758,0.91,10806
langgenius,dify,112501,2023-04-12T07:40:24Z,2025-08-29T14:05:20Z,TypeScript,141,601,12195,0.95,7231
d3,d3,111373,2010-09-27T17:22:42Z,2025-08-29T13:12:46Z,Shell,194,9,2220,1.00,493
ripienaar,free-for-dev,111055,2015-03-18T21:06:26Z,2025-08-29T13:46:41Z,HTML,0,0,0,0.00,2763
mrdoob,three.js,108316,2010-03-23T18:58:01Z,2025-08-29T14:06:49Z,JavaScript,171,452,12743,0.97,14439
open-webui,open-webui,108302,2023-10-06T22:08:27Z,2025-08-29T14:11:30Z,JavaScript,123,213,6051,0.97,2551
langflow-ai,langflow,108008,2023-02-08T22:28:03Z,2025-08-29T14:10:42Z,Python,263,432,2289,0.84,4683
axios,axios,107499,2014-08-18T22:30:27Z,2025-08-29T13:32:45Z,JavaScript,97,201,4644,0.96,1002
excalidraw,excalidraw,106162,2020-01-02T01:04:43Z,2025-08-29T13:24:29Z,TypeScript,14,1847,2407,0.57,3703
rust-lang,rust,106097,2010-06-16T20:39:03Z,2025-08-29T12:55:49Z,Rust,140,10623,48689,0.82,65819
microsoft,TypeScript,105754,2014-06-17T15:28:39Z,2025-08-29T13:21:24Z,TypeScript,212,5586,36893,0.87,14677
denoland,deno,104051,2018-05-15T01:34:26Z,2025-08-29T09:57:42Z,Rust,342,2278,10936,0.83,13370
goldbergyoni,nodebestpractices,104019,2017-09-15T08:33:19Z,2025-08-29T10:04:13Z,Dockerfile,0,43,285,0.87,765
facebook,create-react-app,103482,2016-07-17T14:55:11Z,2025-08-29T12:27:20Z,JavaScript,83,1835,6567,0.78,1949
GrowingGit,GitHub-Chinese-Top-Charts,101656,2019-09-05T03:01:56Z,2025-08-29T13:42:02Z,Java,0,179,161,0.47,0
godotengine,godot,100688,2014-01-04T16:05:36Z,2025-08-29T14:05:31Z,C++,61,12118,46094,0.79,38760
microsoft,terminal,99660,2017-08-11T18:38:22Z,2025-08-29T14:05:22Z,C++,138,1601,11876,0.88,4201
deepseek-ai,DeepSeek-V3,99061,2024-12-26T09:52:40Z,2025-08-29T14:09:55Z,Python,1,31,566,0.95,24
angular,angular,98575,2014-09-18T16:12:01Z,2025-08-29T13:45:37Z,TypeScript,474,1275,28232,0.96,3903
fatedier,frp,98043,2015-12-21T15:24:59Z,2025-08-29T14:10:34Z,Go,106,56,3855,0.99,687
papers-we-love,papers-we-love,97621,2013-12-15T14:31:41Z,2025-08-29T13:47:23Z,Shell,0,1,245,1.00,437
Hack-with-Github,Awesome-Hacking,96947,2016-03-30T15:47:10Z,2025-08-29T13:44:21Z,Unknown,0,0,0,0.00,34
iptv-org,iptv,96625,2018-11-14T22:00:57Z,2025-08-29T12:22:04Z,TypeScript,0,443,14597,0.97,6674
rustdesk,rustdesk,96598,2020-09-28T15:36:08Z,2025-08-29T14:11:30Z,Rust,31,54,3549,0.99,3649
mui,material-ui,96486,2014-08-18T19:11:54Z,2025-08-29T09:22:26Z,TypeScript,547,1614,18556,0.92,20830
microsoft,generative-ai-for-beginners,96310,2023-06-19T16:28:59Z,2025-08-29T13:42:38Z,Jupyter Notebook,0,9,169,0.95,396
tauri-apps,tauri,96046,2019-07-13T09:09:37Z,2025-08-29T12:55:22Z,Rust,1000,1122,4669,0.81,5188
ant-design,ant-design,95829,2015-04-24T15:37:24Z,2025-08-29T13:34:56Z,TypeScript,714,1230,30422,0.96,15814
shadcn-ui,ui,93854,2023-01-04T12:43:27Z,2025-08-29T14:03:48Z,TypeScript,53,973,2387,0.71,642
nvbn,thefuck,93789,2015-04-08T15:08:04Z,2025-08-29T13:40:16Z,Python,17,288,472,0.62,481
ryanmcdermott,clean-code-javascript,93725,2016-11-25T22:25:41Z,2025-08-29T14:11:11Z,JavaScript,0,72,163,0.69,149
Anduin2017,HowToCook,92919,2020-02-29T10:43:49Z,2025-08-29T14:05:44Z,Dockerfile,4,437,346,0.44,586
pytorch,pytorch,92762,2016-08-13T05:26:41Z,2025-08-29T14:07:15Z,Python,61,15566,37826,0.71,6193
iluwatar,java-design-patterns,92592,2014-08-09T16:45:18Z,2025-08-29T09:55:42Z,Java,0,129,830,0.87,1507
neovim,neovim,92358,2014-01-31T13:39:22Z,2025-08-29T13:09:22Z,Vim Script,45,1653,11504,0.87,16195
puppeteer,puppeteer,92202,2017-05-09T22:16:13Z,2025-08-29T12:48:30Z,TypeScript,563,271,6955,0.96,5432
microsoft,Web-Dev-For-Beginners,91638,2020-11-10T02:44:00Z,2025-08-29T13:52:12Z,JavaScript,0,4,328,0.99,552
DigitalPlatDev,FreeDomain,91012,2024-05-30T13:23:00Z,2025-08-29T14:15:33Z,HTML,0,0,0,0.00,0
deepseek-ai,DeepSeek-R1,91004,2025-01-20T11:57:28Z,2025-08-29T12:37:02Z,Unknown,1,34,597,0.95,9
tailwindlabs,tailwindcss,89846,2017-10-06T14:59:14Z,2025-08-29T11:21:22Z,TypeScript,290,80,4474,0.98,3079
PanJiaChen,vue-element-admin,89820,2017-04-17T03:35:49Z,2025-08-29T09:29:38Z,Vue,49,1252,2357,0.65,311
fastapi,fastapi,88910,2018-12-08T08:21:47Z,2025-08-29T14:01:03Z,Python,208,49,3418,0.99,2739
mtdvio,every-programmer-should-know,88029,2017-08-24T13:18:26Z,2025-08-29T13:30:33Z,Unknown,0,30,23,0.43,99
jaywcjlove,awesome-mac,87778,2016-07-17T15:33:47Z,2025-08-29T12:13:28Z,JavaScript,12,114,368,0.76,992
supabase,supabase,87758,2019-10-12T05:56:49Z,2025-08-29T13:48:25Z,TypeScript,22,231,4452,0.95,12995
storybookjs,storybook,87618,2016-03-18T04:23:44Z,2025-08-29T13:48:28Z,TypeScript,1000,2083,11622,0.85,11490
openai,whisper,87395,2022-09-16T20:02:54Z,2025-08-29T14:09:25Z,Python,13,0,0,0.00,119
comfyanonymous,ComfyUI,86919,2023-01-17T03:15:56Z,2025-08-29T14:06:55Z,Python,77,2575,3698,0.59,1236
nvm-sh,nvm,86642,2010-04-15T17:47:47Z,2025-08-29T13:36:55Z,Shell,70,315,2001,0.86,729
2dust,v2rayN,85757,2019-07-30T03:47:24Z,2025-08-29T13:50:48Z,C#,266,5,6039,1.00,275
ggml-org,llama.cpp,85714,2023-03-10T18:58:00Z,2025-08-29T14:10:39Z,C++,1000,351,5417,0.94,5592
ChatGPTNextWeb,NextChat,85690,2023-03-10T18:27:54Z,2025-08-29T14:14:24Z,TypeScript,77,662,2888,0.81,889
bitcoin,bitcoin,85243,2010-12-19T15:16:43Z,2025-08-29T13:03:31Z,C++,56,413,8280,0.95,15525
florinpop17,app-ideas,85042,2019-02-25T18:36:56Z,2025-08-29T14:11:31Z,Unknown,0,126,44,0.26,149
django,django,84812,2012-04-28T02:47:18Z,2025-08-29T14:09:28Z,Python,0,0,0,0.00,9883
sveltejs,svelte,83949,2016-11-20T18:13:05Z,2025-08-29T14:13:32Z,JavaScript,513,819,7697,0.90,6003
gin-gonic,gin,83777,2014-06-16T23:57:25Z,2025-08-29T11:45:09Z,Go,27,669,1680,0.72,1114
opencv,opencv,83733,2012-07-19T09:40:17Z,2025-08-29T14:15:37Z,C++,66,2606,8635,0.77,13096
gohugoio,hugo,83133,2013-07-04T15:26:26Z,2025-08-29T14:10:58Z,Go,338,439,7365,0.94,2972
mermaid-js,mermaid,82512,2014-11-01T23:52:32Z,2025-08-29T13:12:53Z,TypeScript,164,1273,2100,0.62,2448
gothinkster,realworld,82277,2016-02-26T20:49:53Z,2025-08-29T11:27:37Z,TypeScript,0,39,503,0.93,433
animate-css,animate.css,82096,2011-10-12T10:07:38Z,2025-08-29T09:00:49Z,CSS,22,39,841,0.96,315
laravel,laravel,81968,2011-06-08T03:06:08Z,2025-08-29T12:50:51Z,Blade,198,0,0,0.00,1641
macrozheng,mall,81416,2018-04-04T01:11:44Z,2025-08-29T14:11:28Z,Java,3,10,487,0.98,1
home-assistant,core,80976,2013-09-17T07:29:48Z,2025-08-29T14:03:43Z,Python,1000,2342,60277,0.96,75946
3b1b,manim,80225,2015-03-22T18:50:58Z,2025-08-29T13:25:53Z,Python,13,452,761,0.63,642
oven-sh,bun,80102,2021-04-14T00:48:17Z,2025-08-29T12:57:43Z,Zig,197,4823,8357,0.63,6022
tonsky,FiraCode,80017,2014-11-11T19:32:38Z,2025-08-29T14:13:41Z,Clojure,29,410,954,0.70,137
x1xhlol,system-prompts-and-models-of-ai-tools,79816,2025-03-05T16:38:29Z,2025-08-29T14:08:49Z,Unknown,0,48,56,0.54,29
